asin,name,brand,category,price,rating,review_count,image_url,product_url,availability,vendor
B0FQG1LPVF,Apple iPhone 17 Pro Max (Cosmic Orange, 256GB),Apple,Smartphone,134900,4.4,292,https://m.media-amazon.com/images/I/71JGCn1z1TL._SL1500_.jpg,https://www.amazon.in/iPhone-Pro-256-Promotion-Breakthrough/dp/B0FQG1LPVF,In Stock,Amazon
B0FQG8MVMC,Apple iPhone 17 Pro Max (Deep Blue, 512GB),Apple,Smartphone,169900,4.4,210,https://m.media-amazon.com/images/I/71R8VsJ07nL._SL1500_.jpg,https://www.amazon.in/iPhone-Pro-Max-512-Promotion/dp/B0FQG8MVMC,In Stock,Amazon
B0FQFBDQJ1,Apple iPhone Air (Space Black, 256GB),Apple,Smartphone,99000,4.2,95,https://m.media-amazon.com/images/I/61knPJtYRpL._SL1500_.jpg,https://www.amazon.in/iPhone-Air-256-GB-Promotion/dp/B0FQFBDQJ1,In Stock,Amazon
B0BDK62PDX,Apple iPhone 14 (Blue, 128GB),Apple,Smartphone,50400,4.5,6000,https://m.media-amazon.com/images/I/61bK6PMOC3L._SL1500_.jpg,https://www.amazon.in/Apple-iPhone-14-128GB-Blue/dp/B0BDK62PDX,In Stock,Amazon
B0BDJ83Y4Z,Apple iPhone 14 Plus (Purple, 512GB),Apple,Smartphone,99900,4.5,2000,https://m.media-amazon.com/images/I/61YSNhAb00L._SL1500_.jpg,https://www.amazon.in/Apple-iPhone-Plus-512GB-Purple/dp/B0BDJ83Y4Z,In Stock,Amazon
B0FGY7C13L,Google Pixel 9a (Porcelain, 256GB),Google,Smartphone,38900,4.3,183,https://m.media-amazon.com/images/I/71T6fNlZTjL._SL1500_.jpg,https://www.amazon.in/Google-Pixel-9a-Porcelain-256/dp/B0FGY7C13L,In Stock,Amazon
B0FQBZQR9Q,Google Pixel 9a 5G (Obsidian, 256GB),Google,Smartphone,38990,4.0,11,https://m.media-amazon.com/images/I/51loAyfmYXL._SL1057_.jpg,https://www.amazon.in/Google-Pixel-9a-Obsidian-Storage/dp/B0FQBZQR9Q,In Stock,Amazon
B0FNP9KVFC,Google Pixel 10 (Frost, 256GB),Google,Smartphone,70770,4.4,50,https://m.media-amazon.com/images/I/315DonuUGZL.jpg,https://www.amazon.in/Google-Pixel-10-Frost-Storage/dp/B0FNP9KVFC,In Stock,Amazon
B0FLDVMSX6,Google Pixel 8a (Obsidian, 128GB),Google,Smartphone,33900,4.0,8,https://m.media-amazon.com/images/I/51IS4vxjlLL.jpg,https://www.amazon.in/Google-Pixel-8a-Obsidian-Storage/dp/B0FLDVMSX6,In Stock,Amazon
B0FHWM5XJR,Vivo V60 5G (Auspicious Gold, 256GB),Vivo,Smartphone,40999,4.3,814,https://m.media-amazon.com/images/I/61k1bvaUF+L._SL1500_.jpg,https://www.amazon.in/dp/B0FHWM5XJR,In Stock,Amazon
B0FP2PHST2,Vivo Y31 Pro 5G (Dreamy White, 8GB, 128GB),Vivo,Smartphone,19998,4.2,62,https://m.media-amazon.com/images/I/71BQgSj2kXL._SL1500_.jpg,https://www.amazon.in/dp/B0FP2PHST2,In Stock,Amazon
